Time,Parameter 1,Parameter 2,Parameter 3
2025-06-20 08:00:00,37.01,60.68,6.88
2025-06-20 08:15:00,37.01,60.72,6.88
2025-06-20 08:30:00,37.03,60.18,6.88
2025-06-20 08:45:00,36.97,60.57,6.88
2025-06-20 09:00:00,36.99,60.58,6.88
2025-06-20 09:15:00,37.03,60.36,6.88
2025-06-20 09:30:00,36.96,59.91,6.88
2025-06-20 09:45:00,36.94,60.00,6.88
2025-06-20 10:00:00,37.00,60.27,6.88
2025-06-20 10:15:00,36.98,60.16,6.88
2025-06-20 10:30:00,37.03,59.99,6.88
2025-06-20 10:45:00,36.97,59.89,6.91
2025-06-20 11:00:00,37.01,60.52,6.91
2025-06-20 11:15:00,37.00,60.32,6.91
2025-06-20 11:30:00,36.97,59.79,6.91
2025-06-20 11:45:00,37.06,59.59,6.90
2025-06-20 12:00:00,37.01,60.47,6.90
2025-06-20 12:15:00,37.03,60.31,6.90
2025-06-20 12:30:00,37.02,60.19,6.90
2025-06-20 12:45:00,36.99,60.34,6.90
2025-06-20 13:00:00,37.02,60.26,6.90
2025-06-20 13:15:00,37.03,60.03,6.90
2025-06-20 13:30:00,37.00,59.89,6.90
2025-06-20 13:45:00,36.99,59.72,6.90
2025-06-20 14:00:00,37.05,60.07,6.90
2025-06-20 14:15:00,37.02,60.13,6.90
2025-06-20 14:30:00,37.00,59.75,6.90
2025-06-20 14:45:00,36.97,59.76,6.90
2025-06-20 15:00:00,36.98,59.99,6.90
2025-06-20 15:15:00,36.96,59.83,6.90
2025-06-20 15:30:00,37.08,59.75,6.89
2025-06-20 15:45:00,37.01,59.58,6.89
2025-06-20 16:00:00,36.98,59.95,6.89
2025-06-20 16:15:00,37.06,59.92,6.89
2025-06-20 16:30:00,36.95,59.31,6.89
2025-06-20 16:45:00,36.98,59.49,6.89
2025-06-20 17:00:00,36.97,60.11,6.89
2025-06-20 17:15:00,37.06,60.46,6.89
2025-06-20 17:30:00,37.01,60.03,6.89
2025-06-20 17:45:00,37.04,59.71,6.89
2025-06-20 18:00:00,37.05,60.77,6.89
2025-06-20 18:15:00,36.99,60.33,6.89
2025-06-20 18:30:00,36.97,60.67,6.89
2025-06-20 18:45:00,37.07,60.62,6.89
2025-06-20 19:00:00,36.96,60.89,6.89
2025-06-20 19:15:00,37.03,60.71,6.89
2025-06-20 19:30:00,37.01,60.16,6.89
2025-06-20 19:45:00,37.02,59.63,6.89
2025-06-20 20:00:00,37.06,60.07,6.89
2025-06-20 20:15:00,37.02,60.10,6.88
2025-06-20 20:30:00,37.03,60.29,6.88
2025-06-20 20:45:00,36.96,60.18,6.88
2025-06-20 21:00:00,37.01,60.74,6.88
2025-06-20 21:15:00,37.02,60.64,6.88
2025-06-20 21:30:00,36.98,60.50,6.88
2025-06-20 21:45:00,36.97,60.38,6.88
2025-06-20 22:00:00,37.01,60.62,6.88
2025-06-20 22:15:00,36.96,60.23,6.88
2025-06-20 22:30:00,37.04,60.09,6.88
2025-06-20 22:45:00,36.95,59.85,6.88
2025-06-20 23:00:00,37.03,60.72,6.88
2025-06-20 23:15:00,37.00,60.47,6.88
